share_of_cards_top,share_of_views
0.6529043789097408,0.9987099501889208
0.6548704200178731,0.9987248239894346
0.6568364611260054,0.9987395856195072
0.6588025022341376,0.9987541453427854
0.6607685433422699,0.9987686826319753
0.6627345844504021,0.9987829955802827
0.6647006255585344,0.99879730852859
0.6666666666666666,0.9988113747019267
0.6686327077747989,0.9988254408752633
0.6705987488829311,0.9988392827077173
0.6725647899910634,0.998853102106083
0.6745308310991958,0.9988666971635662
0.676496872207328,0.9988802697869612
0.6784629133154603,0.9988936853717384
0.6804289544235925,0.9989070112201625
0.6823949955317248,0.9989202248981454
0.684361036639857,0.9989333039715986
0.6863270777479893,0.9989462035723459
0.6882931188561215,0.9989590358708283
0.6902591599642538,0.9989718681693108
0.692225201072386,0.9989844761269108
0.6941912421805183,0.9989970616504225
0.6961572832886506,0.9990095350034929
0.6981233243967828,0.9990218737520338
0.7000893655049151,0.9990342125005746
0.7020554066130473,0.9990463493423212
0.7040214477211796,0.9990584413158912
0.7059874888293118,0.9990703986849317
0.7079535299374441,0.999082243883531
0.7099195710455765,0.9990940890821302
0.7118856121537087,0.9991057323739351
0.713851653261841,0.9991173307975635
0.7158176943699732,0.9991286824462211
0.7177837354781055,0.9991400340948786
0.7197497765862377,0.9991512960071832
0.72171581769437,0.9991624008808699
0.7236818588025022,0.9991735057545568
0.7256478999106345,0.9991844984578022
0.7276139410187668,0.9991953565565183
0.729579982126899,0.9992061473529694
0.7315460232350313,0.9992167586767146
0.7335120643431635,0.9992272129618419
0.7354781054512958,0.9992375775106161
0.737444146559428,0.9992479420593905
0.7394101876675603,0.9992582393059001
0.7413762287756925,0.9992683570797036
0.7433422698838248,0.9992784748535071
0.7453083109919572,0.9992884131546046
0.7472743521000894,0.9992982841534372
0.7492403932082217,0.9993081551522699
0.7512064343163539,0.999317981282926
0.7531724754244862,0.999327605506788
0.7551385165326184,0.9993372297306499
0.7571045576407507,0.9993468539545117
0.7590705987488829,0.9993563211397558
0.7610366398570152,0.9993656985886469
0.7630026809651475,0.9993750760375378
0.7649687220732797,0.9993842964478111
0.766934763181412,0.9993934271217314
0.7689008042895442,0.9994025577956516
0.7708668453976765,0.9994116884695718
0.7728328865058087,0.9994207069730509
0.774798927613941,0.9994295908720002
0.7767649687220732,0.9994383626005083
0.7787310098302055,0.9994469997244869
0.7806970509383379,0.9994556368484656
0.7826630920464701,0.9994642291042677
0.7846291331546024,0.9994726194532755
0.7865951742627346,0.9994810098022833
0.7885612153708669,0.999489400151291
0.7905272564789991,0.9994975885935045
0.7924932975871314,0.9995057321675415
0.7944593386952636,0.9995138757415785
0.7964253798033959,0.9995218622769976
0.7983914209115281,0.9995297590760638
0.8003574620196604,0.9995376558751299
0.8023235031277927,0.9995455526741961
0.8042895442359249,0.9995532475664679
0.8062555853440572,0.9995608975905632
0.8082216264521894,0.9995685476146585
0.8101876675603217,0.9995759957319595
0.8121537086684539,0.9995833989810841
0.8141197497765862,0.9995908022302086
0.8160857908847186,0.9995982054793331
0.8180518319928508,0.9996054516898398
0.8200178731009831,0.9996126081639936
0.8219839142091153,0.9996197646381473
0.8239499553172476,0.9996268538100361
0.8259159964253798,0.9996337635092191
0.8278820375335121,0.9996406732084019
0.8298480786416443,0.9996475829075848
0.8318141197497766,0.9996543580022381
0.8337801608579088,0.9996610209264503
0.8357462019660411,0.9996676838506623
0.8377122430741734,0.9996743467748743
0.8396782841823056,0.9996808526604686
0.8416443252904379,0.9996872688097098
0.8436103663985701,0.9996936849589512
0.8455764075067024,0.9997001011081924
0.8475424486148346,0.9997063602188159
0.8495084897229669,0.9997125295930862
0.8514745308310991,0.9997186989673567
0.8534405719392315,0.9997248683416271
0.8554066130473638,0.9997308358091033
0.857372654155496,0.9997367584084028
0.8593386952636283,0.9997426810077025
0.8613047363717605,0.999748603607002
0.8632707774798928,0.9997543467335956
0.865236818588025,0.9997600225579244
0.8672028596961573,0.9997656983822533
0.8691689008042895,0.999771374206582
0.8711349419124218,0.999776982728646
0.8731009830205541,0.999782411778004
0.8750670241286863,0.999787840827362
0.8770330652368186,0.99979326987672
0.8789991063449508,0.999798698926078
0.8809651474530831,0.9998038812004651
0.8829311885612153,0.9998090634748523
0.8848972296693476,0.9998141784469746
0.8868632707774798,0.999819113946391
0.8888293118856122,0.9998240494458074
0.8907953529937445,0.9998289849452237
0.8927613941018767,0.9998338980105518
0.894727435210009,0.9998385867349973
0.8966934763181412,0.9998432754594428
0.8986595174262735,0.9998479641838883
0.9006255585344057,0.9998526529083339
0.902591599642538,0.9998571621600734
0.9045576407506702,0.999861604109548
0.9065236818588025,0.9998660460590227
0.9084897229669348,0.9998704880084975
0.910455764075067,0.999874817787531
0.9124218051831993,0.9998790129620349
0.9143878462913315,0.9998832081365387
0.9163538873994638,0.9998874033110426
0.918319928507596,0.9998914863151052
0.9202859696157283,0.9998954347146383
0.9222520107238605,0.9998993831141714
